time,latitude,longitude,depth,mag,magType,place,year,month
2023-02-17 09:37:34.656000+00:00,-6.6176,132.106,39.742,6.1,mww,"130 km SSW of Tual, Indonesia",2023,2
2023-02-15 18:10:08.107000+00:00,12.3099,123.8605,8.0,6.1,mww,"9 km NNE of Miaga, Philippines",2023,2
2023-02-06 12:02:11.275000+00:00,38.0582,36.5114,8.516,6.0,mb,"4 km NNE of Göksun, Turkey",2023,2
2023-02-06 10:26:46.742000+00:00,38.0315,38.0984,10.0,6.0,mb,"12 km W of Çelikhan, Turkey",2023,2
2023-02-06 10:24:48.811000+00:00,38.0106,37.1962,7.432,7.5,mww,"Elbistan earthquake, Kahramanmaras earthquake sequence",2023,2
2023-02-06 01:28:15.784000+00:00,37.1893,36.8929,9.797,6.7,mww,"14 km E of Nurda??, Turkey",2023,2
2023-02-06 01:17:34.342000+00:00,37.2256,37.0143,10.0,7.8,mww,"Pazarcik earthquake, Kahramanmaras earthquake sequence",2023,2
2023-02-01 10:44:46.067000+00:00,7.7431,126.0566,19.0,6.0,mww,"1 km NW of Babag, Philippines",2023,2
2023-01-18 06:06:11.454000+00:00,2.7306,127.0221,29.708,7.0,mwc,"156 km NW of Tobelo, Indonesia",2023,1
2023-01-15 22:29:58.940000+00:00,1.9837,97.9979,37.0,6.1,mww,"40 km SE of Singkil, Indonesia",2023,1
2023-01-08 12:32:42.372000+00:00,-14.9467,166.8791,29.0,7.0,mww,"23 km WNW of Port-Olry, Vanuatu",2023,1
2022-12-28 16:34:19.271000+00:00,-21.2566,171.3773,4.0,6.1,mww,"289 km SE of Isangel, Vanuatu",2022,12
2022-12-20 10:34:24.770000+00:00,40.525,-124.423,17.91,6.4,mw,"15km WSW of Ferndale, CA",2022,12
2022-12-11 14:31:29.051000+00:00,17.1801,-100.53,18.0,6.0,mww,"7 km W of Corral Falso, Mexico",2022,12
2022-12-04 19:24:15.394000+00:00,-15.3497,-172.9867,38.0,6.8,mww,"109 km NE of Hihifo, Tonga",2022,12
2022-11-23 01:08:15.435000+00:00,40.8356,30.9831,10.0,6.1,mww,"15 km W of Düzce, Turkey",2022,11
2022-11-22 16:39:05.789000+00:00,30.7936,-116.3907,10.0,6.2,mww,"28 km SW of Las Brisas, Mexico",2022,11
2022-11-22 02:37:57.529000+00:00,-9.8203,159.4589,10.0,6.0,mww,Solomon Islands,2022,11
2022-11-22 02:03:06.891000+00:00,-9.8198,159.6033,14.0,7.0,mww,"18 km SW of Malango, Solomon Islands",2022,11
2022-11-18 13:37:08.687000+00:00,-4.9043,100.7862,25.0,6.9,mww,"204 km SW of Bengkulu, Indonesia",2022,11
2022-11-13 02:24:57.830000+00:00,-37.4652,-73.6757,18.0,6.2,mww,"Near the coast of Bio-Bio, Chile",2022,11
2022-11-11 10:48:46.710000+00:00,-19.2881,-172.1471,37.0,7.3,mww,"205 km ESE of Neiafu, Tonga",2022,11
2022-11-04 10:02:46.346000+00:00,28.1573,-112.3106,10.0,6.1,mww,"82 km SSW of Bahía de Kino, Mexico",2022,11
2022-11-02 14:17:53.832000+00:00,-60.7841,-25.7774,25.0,6.1,mww,South Sandwich Islands region,2022,11
2022-11-02 04:53:13.239000+00:00,31.5042,-133.351,10.0,6.0,mww,North Pacific Ocean,2022,11
2022-10-25 14:59:00.085000+00:00,17.6609,120.8147,6.0,6.4,mww,"11 km E of Dolores, Philippines",2022,10
2022-10-20 11:57:12.575000+00:00,7.6901,-82.3342,20.0,6.7,mww,"60 km SSW of Boca Chica, Panama",2022,10
2022-10-16 12:48:21.665000+00:00,4.3584,-87.5675,15.0,6.3,mww,off the coast of Central America,2022,10
2022-10-09 16:38:04.811000+00:00,-1.3636,-23.9041,10.0,6.2,mww,central Mid-Atlantic Ridge,2022,10
2022-10-01 01:18:53.386000+00:00,53.7049,-35.5074,10.0,6.0,mww,Reykjanes Ridge,2022,10
2022-09-29 03:03:24.073000+00:00,-60.8308,-20.025,11.0,6.5,mww,east of the South Sandwich Islands,2022,9
2022-09-23 22:53:27.870000+00:00,-41.3788,-75.5767,20.0,6.1,mww,"156 km WNW of Ancud, Chile",2022,9
2022-09-23 20:52:58.398000+00:00,3.8109,96.0514,42.181,6.2,mww,"37 km SSW of Meulaboh, Indonesia",2022,9
2022-09-22 06:16:09.459000+00:00,18.2633,-102.9554,20.0,6.8,mww,"55 km SSW of Aguililla, Mexico",2022,9
2022-09-20 18:23:42.896000+00:00,55.5042,166.3282,10.0,6.0,mww,"254 km ESE of Ust’-Kamchatsk Staryy, Russia",2022,9
2022-09-19 18:05:08.217000+00:00,18.4552,-102.9561,26.943,7.6,mww,"35 km SSW of Aguililla, Mexico",2022,9
2022-09-18 06:44:13.846000+00:00,23.138,121.3439,10.0,6.9,mww,"90 km E of Yujing, Taiwan",2022,9
2022-09-17 13:41:17.890000+00:00,23.1191,121.4138,10.0,6.5,mww,"96 km SE of Lugu, Taiwan",2022,9
2022-09-10 23:10:43.721000+00:00,-1.149,98.654,20.0,6.0,mww,"173 km WSW of Pariaman, Indonesia",2022,9
2022-09-10 00:05:12.947000+00:00,-2.2313,138.1784,21.0,6.2,mww,"260 km ESE of Biak, Indonesia",2022,9
2022-09-09 23:31:47.409000+00:00,-2.2492,138.1979,18.0,6.2,mww,"Papua, Indonesia",2022,9
2022-09-05 04:52:19.645000+00:00,29.6786,102.236,12.0,6.6,mww,"44 km SE of Kangding, China",2022,9
2022-09-04 23:57:31.734000+00:00,-56.0375,-124.478,10.0,6.2,mww,southern East Pacific Rise,2022,9
2022-09-04 09:42:18.219000+00:00,-0.9339,-21.7155,10.0,6.9,mww,central Mid-Atlantic Ridge,2022,9
2022-08-30 09:09:43.266000+00:00,-54.6506,-136.1522,10.0,6.3,mww,Pacific-Antarctic Ridge,2022,8
2022-08-29 03:29:13.691000+00:00,-0.988,98.6046,17.0,6.2,mww,"173 km WSW of Pariaman, Indonesia",2022,8
2022-08-23 14:31:39.374000+00:00,-5.0926,103.079,45.258,6.2,mww,"119 km S of Pagar Alam, Indonesia",2022,8
2022-08-14 13:44:19.694000+00:00,-32.7361,-179.0088,30.0,6.6,mww,south of the Kermadec Islands,2022,8
2022-07-28 04:15:03.913000+00:00,-21.9311,-70.3386,54.0,6.1,mww,"22 km NW of Tocopilla, Chile",2022,7
2022-07-27 00:43:26.871000+00:00,17.5207,120.8181,33.729,7.0,mww,"11 km NE of Bantay, Philippines",2022,7
2022-07-15 19:37:22.791000+00:00,-44.6215,-79.6496,24.499,6.4,mww,"Off the coast of Aisen, Chile",2022,7
2022-07-12 19:16:58.460000+00:00,-22.5907,-114.2583,10.0,6.8,mww,Easter Island region,2022,7
2022-07-11 21:10:47.785000+00:00,-18.1404,168.9678,10.0,6.0,mww,"82 km ESE of Port-Vila, Vanuatu",2022,7
2022-07-01 23:25:13.465000+00:00,26.8878,55.3213,9.0,6.0,mwb,"57 km NE of Bandar-e Lengeh, Iran",2022,7
2022-07-01 21:32:07.977000+00:00,26.9061,55.2389,16.0,6.0,mww,"52 km NE of Bandar-e Lengeh, Iran",2022,7
2022-06-30 18:40:36.938000+00:00,19.0236,121.3363,30.0,6.0,mww,"49 km NNE of Namuac, Philippines",2022,6
2022-06-21 20:54:34.410000+00:00,33.0203,69.4639,4.0,6.0,mww,"55 km SW of Kh?st, Afghanistan",2022,6
2022-06-04 13:17:48.196000+00:00,-57.7238,148.6769,10.0,6.4,mww,west of Macquarie Island,2022,6
2022-05-27 02:36:05.556000+00:00,-8.2572,127.2079,49.0,6.2,mww,"37 km NE of Lospalos, Timor Leste",2022,5
2022-05-26 18:10:04.775000+00:00,-49.7722,-114.9698,10.0,6.2,mww,southern East Pacific Rise,2022,5
